date,price_pounds,volume
2016-11-29,1.995,5261
2016-11-30,2.162,3776
2016-12-01,2.169,3207
2016-12-02,2.158,4250
2016-12-03,2.147,5381
2016-12-04,2.143,4803
2016-12-05,2.139,4210
2016-12-06,2.133,3578
2016-12-07,2.151,3840
2016-12-08,2.148,2876
2016-12-09,2.155,3210
2016-12-10,2.166,4443
2016-12-11,2.174,4155
2016-12-12,2.168,3318
2016-12-13,2.156,2687
2016-12-14,2.157,2872
2016-12-15,2.16,3277
2016-12-16,2.161,2987
2016-12-17,2.144,3619
2016-12-18,2.138,3694
2016-12-19,2.116,2853
2016-12-20,2.122,2893
2016-12-21,2.103,2838
2016-12-22,2.123,2853
2016-12-23,2.047,3188
2016-12-24,2.097,3176
2016-12-25,2.111,5088
2016-12-26,2.116,4579
2016-12-27,2.108,3899
2016-12-28,2.111,3645
2016-12-29,2.11,3410
2016-12-30,2.122,3820
2016-12-31,2.119,3394
2017-01-01,2.122,3663
2017-01-02,2.104,4183
2017-01-03,2.126,3467
2017-01-04,2.111,3964
2017-01-05,2.113,4532
2017-01-06,2.098,4402
2017-01-07,2.096,5076
2017-01-08,2.092,4834
2017-01-09,2.086,3828
2017-01-10,2.028,4289
2017-01-11,2.006,4992
2017-01-12,1.958,9813
2017-01-13,2.004,7336
2017-01-14,2.007,7438
2017-01-15,2.006,7407
2017-01-16,2.005,6520
2017-01-17,2.006,5579
2017-01-18,2.013,5407
2017-01-19,2.003,7125
2017-01-20,1.982,8286
2017-01-21,1.987,9123
2017-01-22,1.987,8230
2017-01-23,1.99,6671
2017-01-24,2.007,6566
2017-01-25,2.011,7017
2017-01-26,1.983,8292
2017-01-27,1.964,11060
2017-01-28,1.959,12890
2017-01-29,1.959,13346
2017-01-30,1.961,11986
2017-01-31,1.992,8243
2017-02-01,2.002,8127
2017-02-02,2.009,8495
2017-02-03,2.029,6120
2017-02-04,2.045,5994
2017-02-05,2.044,5175
2017-02-06,2.041,4371
2017-02-07,2.05,4894
2017-02-08,2.13,3357
2017-02-09,2.162,3491
2017-02-10,2.181,3370
2017-02-11,2.2,3612
2017-02-12,2.208,4294
2017-02-13,2.2,3683
2017-02-14,2.164,3512
2017-02-15,2.156,3000
2017-02-16,2.145,4168
2017-02-17,2.146,3948
2017-02-18,2.15,4008
2017-02-19,2.147,4017
2017-02-20,2.101,4081
2017-02-21,2.124,2936
2017-02-22,2.201,5264
2017-02-23,2.193,2751
2017-02-24,2.208,3104
2017-02-25,2.207,3251
2017-02-26,2.208,3348
2017-02-27,2.177,2510
2017-02-28,2.208,2415
2017-03-01,2.192,2976
2017-03-02,2.181,2594
2017-03-03,2.184,3150
2017-03-04,2.173,3688
2017-03-05,2.183,3260
2017-03-06,2.171,2733
2017-03-07,2.167,2398
2017-03-08,2.176,2548
2017-03-09,2.14,1994
2017-03-10,2.123,2834
2017-03-11,2.121,2878
2017-03-12,2.134,3655
2017-03-13,2.138,2802
2017-03-14,2.138,2559
2017-03-15,2.132,2589
2017-03-16,2.107,2536
2017-03-17,2.132,3429
2017-03-18,2.153,2653
2017-03-19,2.163,2307
2017-03-20,2.123,3029
2017-03-21,2.158,2139
2017-03-22,2.129,2104
2017-03-23,2.133,2709
2017-03-24,2.088,3130
2017-03-25,2.113,3885
2017-03-26,2.099,2661
2017-03-27,2.08,2571
2017-03-28,2.112,2017
2017-03-29,2.134,1896
2017-03-30,2.111,2121
2017-03-31,2.121,1753
2017-04-01,2.138,2174
2017-04-02,2.132,1825
2017-04-03,2.105,1881
2017-04-04,2.139,1583
2017-04-05,2.131,1741
2017-04-06,2.116,1897
2017-04-07,2.109,1699
2017-04-08,2.138,1837
2017-04-09,2.144,1584
2017-04-10,2.133,1427
2017-04-11,2.128,1126
2017-04-12,2.14,1078
2017-04-13,2.098,1549
2017-04-14,2.138,1327
2017-04-15,2.167,1329
2017-04-16,2.168,1450
2017-04-17,2.165,1253
2017-04-18,2.154,1257
2017-04-19,2.152,1630
2017-04-20,2.137,1417
2017-04-21,2.134,1820
2017-04-22,2.142,1666
2017-04-23,2.132,1595
2017-04-24,2.154,1087
2017-04-25,2.138,1379
2017-04-26,2.131,1204
2017-04-27,2.118,1222
2017-04-28,2.106,1666
2017-04-29,2.115,1822
2017-04-30,2.113,1681
2017-05-01,2.115,1518
2017-05-02,2.129,1449
2017-05-03,2.119,1560
2017-05-04,2.119,1510
2017-05-05,2.099,1716
2017-05-06,2.122,2050
2017-05-07,2.111,1532
2017-05-08,2.115,1424
2017-05-09,2.101,1083
2017-05-10,2.107,1278
2017-05-11,2.119,1255
2017-05-12,2.095,1587
2017-05-13,2.101,1930
2017-05-14,2.108,1545
2017-05-15,2.114,1377
2017-05-16,2.122,1279
2017-05-17,2.106,1670
2017-05-18,2.112,1546
2017-05-19,2.115,1177
2017-05-20,2.11,1845
2017-05-21,2.11,1380
2017-05-22,2.113,1332
2017-05-23,2.135,1364
2017-05-24,2.072,2231
2017-05-25,2.12,1096
2017-05-26,2.142,1306
2017-05-27,2.135,1200
2017-05-28,2.145,1065
2017-05-29,2.153,940
2017-05-30,2.147,1164
2017-05-31,2.148,1023
2017-06-01,2.146,1037
2017-06-02,2.148,1055
2017-06-03,2.159,1491
2017-06-04,2.17,1079
2017-06-05,2.153,1068
2017-06-06,2.144,1107
2017-06-07,2.137,920
2017-06-08,2.148,816
2017-06-09,2.15,1340
2017-06-10,2.139,1071
2017-06-11,2.134,847
2017-06-12,2.136,1006
2017-06-13,2.12,769
2017-06-14,2.115,1045
2017-06-15,2.132,1131
2017-06-16,2.116,976
2017-06-17,2.12,1118
2017-06-18,2.123,668
2017-06-19,2.119,818
2017-06-20,2.109,724
