date,price_usd,volume
2016-11-29,2.005,5261
2016-11-30,2.173,3776
2016-12-01,2.179,3207
2016-12-02,2.169,4250
2016-12-03,2.158,5381
2016-12-04,2.154,4803
2016-12-05,2.15,4210
2016-12-06,2.144,3578
2016-12-07,2.162,3840
2016-12-08,2.159,2876
2016-12-09,2.165,3210
2016-12-10,2.177,4443
2016-12-11,2.185,4155
2016-12-12,2.179,3318
2016-12-13,2.167,2687
2016-12-14,2.168,2872
2016-12-15,2.17,3277
2016-12-16,2.172,2987
2016-12-17,2.155,3619
2016-12-18,2.148,3694
2016-12-19,2.127,2853
2016-12-20,2.132,2893
2016-12-21,2.113,2838
2016-12-22,2.134,2853
2016-12-23,2.057,3188
2016-12-24,2.107,3176
2016-12-25,2.122,5088
2016-12-26,2.126,4579
2016-12-27,2.118,3899
2016-12-28,2.121,3645
2016-12-29,2.12,3410
2016-12-30,2.133,3820
2016-12-31,2.13,3394
2017-01-01,2.132,3663
2017-01-02,2.114,4183
2017-01-03,2.136,3467
2017-01-04,2.122,3964
2017-01-05,2.123,4532
2017-01-06,2.108,4402
2017-01-07,2.106,5076
2017-01-08,2.103,4834
2017-01-09,2.096,3828
2017-01-10,2.038,4289
2017-01-11,2.016,4992
2017-01-12,1.968,9813
2017-01-13,2.014,7336
2017-01-14,2.017,7438
2017-01-15,2.016,7407
2017-01-16,2.015,6520
2017-01-17,2.016,5579
2017-01-18,2.023,5407
2017-01-19,2.013,7125
2017-01-20,1.992,8286
2017-01-21,1.997,9123
2017-01-22,1.997,8230
2017-01-23,2.0,6671
2017-01-24,2.017,6566
2017-01-25,2.021,7017
2017-01-26,1.993,8292
2017-01-27,1.974,11060
2017-01-28,1.969,12890
2017-01-29,1.969,13346
2017-01-30,1.971,11986
2017-01-31,2.002,8243
2017-02-01,2.012,8127
2017-02-02,2.019,8495
2017-02-03,2.039,6120
2017-02-04,2.055,5994
2017-02-05,2.054,5175
2017-02-06,2.051,4371
2017-02-07,2.061,4894
2017-02-08,2.14,3357
2017-02-09,2.173,3491
2017-02-10,2.192,3370
2017-02-11,2.211,3612
2017-02-12,2.219,4294
2017-02-13,2.211,3683
2017-02-14,2.175,3512
2017-02-15,2.166,3000
2017-02-16,2.156,4168
2017-02-17,2.157,3948
2017-02-18,2.161,4008
2017-02-19,2.157,4017
2017-02-20,2.112,4081
2017-02-21,2.134,2936
2017-02-22,2.212,5264
2017-02-23,2.204,2751
2017-02-24,2.219,3104
2017-02-25,2.218,3251
2017-02-26,2.219,3348
2017-02-27,2.188,2510
2017-02-28,2.219,2415
2017-03-01,2.203,2976
2017-03-02,2.192,2594
2017-03-03,2.195,3150
2017-03-04,2.184,3688
2017-03-05,2.194,3260
2017-03-06,2.181,2733
2017-03-07,2.178,2398
2017-03-08,2.187,2548
2017-03-09,2.151,1994
2017-03-10,2.133,2834
2017-03-11,2.132,2878
2017-03-12,2.145,3655
2017-03-13,2.149,2802
2017-03-14,2.149,2559
2017-03-15,2.143,2589
2017-03-16,2.117,2536
2017-03-17,2.142,3429
2017-03-18,2.164,2653
2017-03-19,2.173,2307
2017-03-20,2.133,3029
2017-03-21,2.169,2139
2017-03-22,2.14,2104
2017-03-23,2.144,2709
2017-03-24,2.098,3130
2017-03-25,2.124,3885
2017-03-26,2.11,2661
2017-03-27,2.091,2571
2017-03-28,2.122,2017
2017-03-29,2.145,1896
2017-03-30,2.121,2121
2017-03-31,2.131,1753
2017-04-01,2.148,2174
2017-04-02,2.143,1825
2017-04-03,2.116,1881
2017-04-04,2.15,1583
2017-04-05,2.142,1741
2017-04-06,2.127,1897
2017-04-07,2.119,1699
2017-04-08,2.148,1837
2017-04-09,2.155,1584
2017-04-10,2.144,1427
2017-04-11,2.138,1126
2017-04-12,2.151,1078
2017-04-13,2.109,1549
2017-04-14,2.149,1327
2017-04-15,2.177,1329
2017-04-16,2.179,1450
2017-04-17,2.175,1253
2017-04-18,2.165,1257
2017-04-19,2.163,1630
2017-04-20,2.148,1417
2017-04-21,2.144,1820
2017-04-22,2.153,1666
2017-04-23,2.142,1595
2017-04-24,2.165,1087
2017-04-25,2.149,1379
2017-04-26,2.142,1204
2017-04-27,2.129,1222
2017-04-28,2.116,1666
2017-04-29,2.125,1822
2017-04-30,2.124,1681
2017-05-01,2.125,1518
2017-05-02,2.139,1449
2017-05-03,2.129,1560
2017-05-04,2.13,1510
2017-05-05,2.109,1716
2017-05-06,2.133,2050
2017-05-07,2.121,1532
2017-05-08,2.126,1424
2017-05-09,2.111,1083
2017-05-10,2.117,1278
2017-05-11,2.13,1255
2017-05-12,2.105,1587
2017-05-13,2.112,1930
2017-05-14,2.118,1545
2017-05-15,2.124,1377
2017-05-16,2.132,1279
2017-05-17,2.116,1670
2017-05-18,2.123,1546
2017-05-19,2.125,1177
2017-05-20,2.12,1845
2017-05-21,2.12,1380
2017-05-22,2.124,1332
2017-05-23,2.146,1364
2017-05-24,2.083,2231
2017-05-25,2.131,1096
2017-05-26,2.153,1306
2017-05-27,2.146,1200
2017-05-28,2.156,1065
2017-05-29,2.163,940
2017-05-30,2.157,1164
2017-05-31,2.159,1023
2017-06-01,2.157,1037
2017-06-02,2.159,1055
2017-06-03,2.17,1491
2017-06-04,2.181,1079
2017-06-05,2.164,1068
2017-06-06,2.155,1107
2017-06-07,2.148,920
2017-06-08,2.159,816
2017-06-09,2.161,1340
2017-06-10,2.15,1071
2017-06-11,2.144,847
2017-06-12,2.147,1006
