market_hash_name,hash
'★ Flip Knife | Ultraviolet (Field-Tested)',76824805971129366334960752300923858938612688082792683642245458789909361659807
'Glock-18 | Twilight Galaxy (Minimal Wear)',28764019865846902545365780560391983337120325815729234664088651691783005110346
'MAC-10 | Malachite (Well-Worn)',35431270717876402046409021764722738809520528251616967703593302107854499594310
'Sticker | Lucky 13 (Foil)',74394205398943021280368153442058585944871412108671413154911595366363119163793
'★ Flip Knife | Safari Mesh (Minimal Wear)',11234167975938917567333779389326012054958006432533140251298241295871688138506
'★ Bayonet | Case Hardened (Minimal Wear)',24318516780688618961774841318506617759090876939464942480947661316596716481229
'★ Driver Gloves | Overtake (Field-Tested)',57943192576005205015970827755250223261605987520161387205727026477153285824456
'StatTrak™ P250 | Wingshot (Well-Worn)',257464585371427501437408206720527791716366409424443781773097831147801871423
'StatTrak™ MP7 | Nemesis (Minimal Wear)',114251799399835160555599114224421649940411117974744911718903782979683832252732
'ESL One Cologne 2014 Challengers',111396959878663955935686825710590950009326664172784469483697821791807241914788
'StatTrak™ M249 | Warbird (Field-Tested)',65301445836077819271582493813937511050384637009194937131156152410104336692894
'StatTrak™ UMP-45 | Riot (Well-Worn)',92353527946179051565422678436445341403612296336887742667293587215040903581862
'AK-47 | Rat Rod (Field-Tested)',104410096847631914755810028460800925047538967132133853474898840004147291951784
'StatTrak™ SG 553 | Triarch (Field-Tested)',38584112797068898820769978667140705596672370329182123694078238340343569685313
'StatTrak™ Tec-9 | Ice Cap (Field-Tested)',35036320036408887534209602633344735206869785449276409852465725874465700597770
'StatTrak™ AK-47 | Rat Rod (Field-Tested)',65101024699186845949267731828299387286971210084459383212220122707021835863113
'AK-47 | Rat Rod (Battle-Scarred)',40259030719001738779949036559221078977801702106206148696028985540655843394050
'M4A4 | The Emperor (Well-Worn)',114909793391314075742202360775088933784273767342598883638864220924700253335983
'StatTrak™ Tec-9 | Ice Cap (Minimal Wear)',17368021240637279749793019693030371485719812688864442941217711001681290218218
'AK-47 | Baroque Purple (Minimal Wear)',85585905352526496511988415763243394436522204430780953524732579167624753229578
'AK-47 | Rat Rod (Minimal Wear)',50290592962279048085722067871423534077407916342262897057044923836738121289034
'StatTrak™ AWP | Atheris (Factory New)',107278347194418502930864531027336074419909863183877109416707045027622600323159
'AWP | Fever Dream (Factory New)',67207127145911314230621580662265990911859666111188383485027268635396246604573
'Tec-9 | Decimator (Field-Tested)',46219980261173157637630873833313329779682395422089853231962688507649324074450
'StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn)',11730441793715155867351009477450171087862743700348105299850751324777900179755
'★ M9 Bayonet | Ultraviolet (Field-Tested)',67825227143054624571288839848547379405093613523531065326682327135396540291291
'Sealed Graffiti | Rly (Blood Red)',90294763839346017522303461463686410228938380258249645130825269091400650215725
'StatTrak™ R8 Revolver | Memento (Field-Tested)',105851948574046241746974327758439602944955052788384748977108789792657505626893
'Desert Eagle | Kumicho Dragon (Factory New)',21091868200851415220663656329284657705692985450454664042945255390639463015067
'USP-S | Overgrowth (Factory New)',90019339349040491407745034934848402896805603941172153623708907323109420933850
'Sticker | coldzera | Cologne 2015',29711766259308392505545051182176167463037617983866083986175410186611143750077
'StatTrak™ MP5-SD | Acid Wash (Field-Tested)',76557923769479631806916412325785751974352174288363025185763239263795729820601
'StatTrak™ CZ75-Auto | Yellow Jacket (Field-Tested)',75562094030476259587129242524481790003860444726994816805070998955706116330211
'Negev | Loudmouth (Well-Worn)',98641095701669688507214249776465432404975759840814893194780407608116818343892
'AK-47 | Baroque Purple (Battle-Scarred)',42907027939979448236810624240831794224691258461010544016088094207949703577084
'SG 553 | Candy Apple (Minimal Wear)',48050718487659641417928796937746445691353211293853895346237019493925802539775
'StatTrak™ MP5-SD | Acid Wash (Minimal Wear)',40616676791694326240289497144135318219471481748769133406411198135339248532152
'StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear)',40027877488354571298596464141215585155547655357691628334267246017110840406755
'SG 553 | Candy Apple (Factory New)',66232690844840350877323381241865468416351857514046133138277460173972840119557
'ESL One Cologne 2014 Legends',107448598599105209627183278141042897405672526930811189291408632058068934027564
'SG 553 | Colony IV (Field-Tested)',594163711627618278509655665589430494878268810690018326531330223430026232925
'StatTrak™ G3SG1 | Black Sand (Field-Tested)',88025897884758502878482530671440593536215649274501150300920426206993924679648
'Tec-9 | Fuel Injector (Minimal Wear)',26209291134953356497094173438413894996360892790112196907175957910548994202473
'AUG | Arctic Wolf (Factory New)',70455802893198342229206523888868759853509387480230635599152067262644985432515
'P2000 | Obsidian (Field-Tested)',68017167851359344725097052516686182066633994582537603006800357544167190413828
'StatTrak™ R8 Revolver | Memento (Minimal Wear)',12589140383961241081968921296744913323102951848283534210331824918450266399109
'USP-S | Pathfinder (Factory New)',41631817035897080926127886074325853873320080719708094844517723584927067098971
'StatTrak™ AWP | Hyper Beast (Well-Worn)',6457524196098719462659973488125039943415295203096761658304154934531287414470
'StatTrak™ AK-47 | Rat Rod (Minimal Wear)',43036172588368469697217029248546555384341779295693942402068485589131352564051
'SSG 08 | Bloodshot (Field-Tested)',110560331690448148703790217452081614577219789300520908613472383926244820992125
'AWP | Fever Dream (Minimal Wear)',86715208774827384450469115381308262754301970104243599083677671923619506786802
'G3SG1 | Arctic Camo (Field-Tested)',104924623881446636072307884660845771064220915798917330805525641775815741066210
'AK-47 | Rat Rod (Factory New)',13308225631620084864983563138747434480957003568407703565935090271891789184532
"'Music Kit | Daniel Sadowski, Crimson Assault'",75017335599034072886518262883337647617020105037687488843750327884961568001054
'SG 553 | Colony IV (Well-Worn)',49990416327819305685682520605846952452969004890829208636406061578513052512476
'★ Talon Knife | Blue Steel (Field-Tested)',41910667629522844923831235949561839926789025986799691561533221952988148376500
'XM1014 | VariCamo Blue (Factory New)',35334951616685715988445878276682133807502728585078407346617156670631083596897
'Sealed Graffiti | Oops (Blood Red)',3992577903885597772375430256010836324179345819299698316544924799548465685014
'XM1014 | Scumbria (Well-Worn)',65456499834519711480544611600599685975398181997795098808938065078444146815597
'Sticker | Pocket BBQ',65930588191181000539866043394038344655970976529532869231580024862697799092123
'AK-47 | Hydroponic (Field-Tested)',45480442783494094811027668400554693825440490258769704358669319725312383925014
'AUG | Arctic Wolf (Minimal Wear)',29501669335210534143061347305086926752955337812318192872177521980101600124524
'StatTrak™ SSG 08 | Bloodshot (Field-Tested)',39529114684843768229468818608353533943916058039716651902738092435926875028955
'StatTrak™ SG 553 | Cyrex (Well-Worn)',53591309722590802098697784376226147360837209514380020133193079964521258779904
'MP9 | Dart (Well-Worn)',42023085623846666566812276635711004416288564693048963572989698606647946934473
'Tec-9 | Decimator (Minimal Wear)',101710102456759357547099097256265671256624330780581862258203487276133583645567
'StatTrak™ SSG 08 | Necropos (Battle-Scarred)',105287176719497969982849245411011626758093874841817446678336590048342366992418
'StatTrak™ MAC-10 | Lapis Gator (Minimal Wear)',64426837784209532272400718357156311160000219273232283363187192894507058396869
'M4A1-S | Moss Quartz (Field-Tested)',74303456595234237321016660427324208239044568637076575114638144870013705984640
'Sealed Graffiti | Virtus.Pro | Krakow 2017',89538844047509515535025145816958607883550573657497675037567770838366109381423
'M4A1-S | Flashback (Field-Tested)',99172597074226265440972131227058631422476951496212963871326616115660581238061
'M4A1-S | Hyper Beast (Factory New)',42511139643362440429040370667066331492381656719693803919139690052178763557529
'Tec-9 | Avalanche (Well-Worn)',75243025968527614672375184758315385166770379642159217030747795981098225345654
'M4A1-S | Moss Quartz (Factory New)',11709482639222864639581336133724697492231202994123150021480579050893257434096
'XM1014 | Teclu Burner (Field-Tested)',59073391317301282265901833902078962153030156135613941179214758433987350863854
'MAG-7 | Chainmail (Factory New)',87602034408948957671832419612547263231109205942916304470992881851452830557200
'StatTrak™ SG 553 | Aerial (Factory New)',103597853206523373903538998881332426814074752135212871890280505610119552435632
'G3SG1 | Demeter (Well-Worn)',43046731020827605273035335145038806590987180125637143217907604618033427666000
'StatTrak™ XM1014 | Scumbria (Well-Worn)',11689306689860119738462005908702715998647701505677057999228886276145132167734
'Tec-9 | Ice Cap (Minimal Wear)',35361151890167987843456106920335648300602108923093080290262038836627298740248
'MP9 | Green Plaid (Factory New)',73401648617865562743361800154615922737773890267068856810662002176314088066574
'StatTrak™ MAC-10 | Stalker (Battle-Scarred)',27869242558173739040911976517224214286476260933943439578387536826877410214618
