item_name,rejection_reason
'★ Flip Knife | Ultraviolet (Field-Tested)',low_volume
'Glock-18 | Twilight Galaxy (Minimal Wear)',low_volume
'MAC-10 | Malachite (Well-Worn)',low_volume low_price
'Sticker | Lucky 13 (Foil)',low_volume
'★ Flip Knife | Safari Mesh (Minimal Wear)',low_volume
'★ Bayonet | Case Hardened (Minimal Wear)',low_volume
'★ Driver Gloves | Overtake (Field-Tested)',low_volume
'StatTrak™ P250 | Wingshot (Well-Worn)',low_volume
'StatTrak™ MP7 | Nemesis (Minimal Wear)',low_volume
'ESL One Cologne 2014 Challengers',low_volume
'StatTrak™ M249 | Warbird (Field-Tested)',low_volume low_price
'StatTrak™ UMP-45 | Riot (Well-Worn)',low_volume low_price
'StatTrak™ SG 553 | Triarch (Field-Tested)',low_volume low_price
'StatTrak™ Tec-9 | Ice Cap (Field-Tested)', low_price
'StatTrak™ AK-47 | Rat Rod (Field-Tested)',low_volume
'M4A4 | The Emperor (Well-Worn)',low_volume
'StatTrak™ Tec-9 | Ice Cap (Minimal Wear)',low_volume low_price
'AK-47 | Baroque Purple (Minimal Wear)',low_volume
