item_name,latest_price,lifetime_price_%_change,30d_price_%_change,lifetime_volume,30d_volume_metric,lifetime_market_cap,30d_market_cap,lifetime_average_price,last_30d_average_price
'★ Flip Knife | Ultraviolet (Field-Tested)',181.6,33.0,5.7,22033,27,1669657.0,4761.0,95.73,176.33
'Glock-18 | Twilight Galaxy (Minimal Wear)',147.0,719.0,4.83,24737,27,401640.0,4072.0,30.45,151.1
'MAC-10 | Malachite (Well-Worn)',1.1,-64.0,1.07,57698,220,35156.0,229.0,0.72,1.03
'Sticker | Lucky 13 (Foil)',10.4,-25.0,13.19,44432,72,170579.0,653.0,5.99,8.97
'★ Flip Knife | Safari Mesh (Minimal Wear)',126.9,186.0,-5.49,9285,4,447344.0,521.0,59.7,130.15
'★ Bayonet | Case Hardened (Minimal Wear)',379.4,968.0,-20.83,7737,5,1154517.0,2096.0,180.82,419.28
'★ Driver Gloves | Overtake (Field-Tested)',90.4,-65.0,10.75,19553,259,2086732.0,22422.0,112.57,86.78
'StatTrak™ P250 | Wingshot (Well-Worn)',2.3,-77.0,-6.96,59596,153,102150.0,350.0,1.84,2.29
'StatTrak™ MP7 | Nemesis (Minimal Wear)',11.6,-43.0,-3.29,42380,74,432361.0,930.0,9.74,12.52
'ESL One Cologne 2014 Challengers',65.6,7416.0,-0.31,639769,82,1116863.0,4822.0,21.07,59.29
'StatTrak™ M249 | Warbird (Field-Tested)',0.6,-30.0,-7.79,51963,103,17716.0,61.0,0.42,0.59
'StatTrak™ UMP-45 | Riot (Well-Worn)',0.2,-77.0,-9.6,40228,95,17159.0,22.0,0.41,0.23
'AK-47 | Rat Rod (Field-Tested)',2.6,-34.0,-6.72,775231,3938,2347697.0,9879.0,2.86,2.52
'StatTrak™ SG 553 | Triarch (Field-Tested)',0.5,-89.0,1.51,112714,434,73839.0,200.0,0.62,0.46
'StatTrak™ Tec-9 | Ice Cap (Field-Tested)',0.2,-92.0,6.6,345398,1631,120998.0,341.0,0.3,0.21
'StatTrak™ AK-47 | Rat Rod (Field-Tested)',7.9,-8.0,-7.71,84725,494,712130.0,3784.0,8.13,7.66
'AK-47 | Rat Rod (Battle-Scarred)',2.4,-69.0,-3.47,227416,1442,650640.0,3354.0,2.73,2.33
'M4A4 | The Emperor (Well-Worn)',8.4,-79.0,-8.08,50377,415,637042.0,3660.0,13.63,8.82
'StatTrak™ Tec-9 | Ice Cap (Minimal Wear)',0.7,-88.0,-10.0,198050,968,150009.0,673.0,0.7,0.7
'AK-47 | Baroque Purple (Minimal Wear)',7.2,110.0,8.54,203340,786,591530.0,5083.0,4.19,6.42
'AK-47 | Rat Rod (Minimal Wear)',4.2,-16.0,-0.52,286409,1383,1213562.0,5570.0,4.17,4.04
'StatTrak™ AWP | Atheris (Factory New)',34.0,-85.0,2.87,23375,203,790596.0,6471.0,34.46,31.79
'AWP | Fever Dream (Factory New)',10.7,-84.0,2.86,348759,1173,3109543.0,12255.0,9.26,10.4
'Tec-9 | Decimator (Field-Tested)',8.4,214.0,-8.51,120958,704,509911.0,6362.0,6.23,9.04
'StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn)',39.5,-61.0,-0.76,18634,64,676386.0,2564.0,35.98,40.01
'★ M9 Bayonet | Ultraviolet (Field-Tested)',445.4,61.0,-13.78,18897,5,2163246.0,2519.0,160.72,503.75
'Sealed Graffiti | Rly (Blood Red)',0.1,337.0,-24.71,20510,72,1912.0,14.0,0.15,0.19
'StatTrak™ R8 Revolver | Memento (Field-Tested)',0.8,233.0,9.71,62630,222,23568.0,178.0,0.49,0.8
'Desert Eagle | Kumicho Dragon (Factory New)',29.2,21.0,-5.74,88113,267,1249503.0,7612.0,17.81,28.58
'USP-S | Overgrowth (Factory New)',48.7,481.0,-20.24,6371,21,136763.0,1110.0,29.08,52.87
'Sticker | coldzera | Cologne 2015',7.1,1019.0,-2.2,12227,3,8994.0,21.0,2.2,6.99
'StatTrak™ MP5-SD | Acid Wash (Field-Tested)',0.7,106.0,-20.12,79527,267,31329.0,174.0,0.47,0.65
'StatTrak™ CZ75-Auto | Yellow Jacket (Field-Tested)',8.1,-43.0,1.25,30595,53,197843.0,442.0,6.15,8.33
'Negev | Loudmouth (Well-Worn)',0.5,-48.0,-16.7,73157,177,26262.0,87.0,0.39,0.49
'AK-47 | Baroque Purple (Battle-Scarred)',7.5,727.0,35.81,146554,314,240609.0,1921.0,2.88,6.06
'SG 553 | Candy Apple (Minimal Wear)',5.6,540.0,-4.17,117249,185,148830.0,1121.0,2.86,6.04
'StatTrak™ MP5-SD | Acid Wash (Minimal Wear)',1.3,149.0,-15.96,34705,132,28996.0,211.0,1.03,1.56
'StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear)',108.8,-60.0,-28.54,13868,30,1132120.0,3797.0,83.7,126.75
'SG 553 | Candy Apple (Factory New)',7.1,68.0,1.17,56232,204,186804.0,1419.0,4.16,6.97
'ESL One Cologne 2014 Legends',74.1,8411.0,-7.79,1153592,107,1723871.0,8381.0,24.56,77.64
'SG 553 | Colony IV (Field-Tested)',7.8,2.0,0.74,112767,293,471413.0,2154.0,5.08,7.34
'StatTrak™ G3SG1 | Black Sand (Field-Tested)',0.6,147.0,-7.09,54708,164,21149.0,98.0,0.52,0.59
'Tec-9 | Fuel Injector (Minimal Wear)',4.8,-65.0,-2.55,188783,863,556442.0,4111.0,3.25,4.76
'AUG | Arctic Wolf (Factory New)',4.6,59.0,-6.4,53886,259,212022.0,1221.0,4.49,4.72
'P2000 | Obsidian (Field-Tested)',1.2,184.0,-19.9,174803,343,86293.0,434.0,0.79,1.27
'StatTrak™ R8 Revolver | Memento (Minimal Wear)',1.9,336.0,8.47,29756,102,23470.0,186.0,1.07,1.81
'USP-S | Pathfinder (Factory New)',24.4,8440.0,-9.94,95374,61,206548.0,1597.0,9.91,26.1
'StatTrak™ AWP | Hyper Beast (Well-Worn)',40.6,-73.0,-11.21,15926,58,660254.0,2147.0,40.79,37.04
'StatTrak™ AK-47 | Rat Rod (Minimal Wear)',12.0,-5.0,-9.92,39957,228,475086.0,2831.0,11.78,12.38
'SSG 08 | Bloodshot (Field-Tested)',8.0,14.0,5.74,234876,1045,789034.0,8080.0,5.27,7.71
'AWP | Fever Dream (Minimal Wear)',8.6,-80.0,1.51,732714,2021,4730863.0,16971.0,7.0,8.39
'G3SG1 | Arctic Camo (Field-Tested)',5.9,253.0,-11.39,63521,23,20379.0,144.0,1.41,6.23
'AK-47 | Rat Rod (Factory New)',9.8,29.0,40.95,57001,325,436652.0,2940.0,7.99,9.01
"'Music Kit | Daniel Sadowski, Crimson Assault'",1.6,-90.0,4.91,110100,162,262198.0,278.0,2.62,1.72
'SG 553 | Colony IV (Well-Worn)',7.2,221.0,26.7,66441,192,197058.0,1233.0,4.11,6.4
'★ Talon Knife | Blue Steel (Field-Tested)',467.2,246.0,-9.1,2291,12,591588.0,5645.0,261.22,470.38
'XM1014 | VariCamo Blue (Factory New)',11.6,591.0,-16.39,47899,31,137069.0,409.0,4.76,13.2
'Sealed Graffiti | Oops (Blood Red)',0.3,694.0,-13.12,18453,46,2352.0,14.0,0.23,0.3
'XM1014 | Scumbria (Well-Worn)',0.1,-76.0,-18.1,324933,975,25532.0,95.0,0.09,0.09
'Sticker | Pocket BBQ',0.2,-64.0,-14.14,150118,334,52216.0,49.0,0.31,0.15
'AK-47 | Hydroponic (Field-Tested)',844.4,2060.0,9.41,25932,6,1411339.0,4890.0,161.57,814.99
'AUG | Arctic Wolf (Minimal Wear)',2.7,-69.0,-1.84,155490,670,324787.0,1746.0,2.36,2.6
'StatTrak™ SSG 08 | Bloodshot (Field-Tested)',21.1,214.0,30.7,27064,118,233133.0,1985.0,10.45,16.79
'StatTrak™ SG 553 | Cyrex (Well-Worn)',8.2,-50.0,18.36,22258,108,133267.0,791.0,6.01,7.26
