date,price_usd,volume
2024-02-07,11.27,216186
2024-02-08,7.734,114499
2024-02-09,8.05,88684
2024-02-10,8.151,73672
2024-02-11,8.011,60732
2024-02-12,7.554,49800
2024-02-13,6.798,53537
2024-02-14,4.119,147843
2024-02-15,3.994,113034
2024-02-16,4.529,88169
2024-02-17,4.518,81216
2024-02-18,4.412,68788
2024-02-19,4.326,56726
2024-02-20,4.251,52443
2024-02-21,3.13,143408
2024-02-22,2.952,105339
2024-02-23,3.035,102535
2024-02-24,3.1,99345
2024-02-25,3.166,77824
2024-02-26,3.119,62332
2024-02-27,3.025,65103
2024-02-28,2.432,128075
2024-02-29,2.487,100123
2024-03-01,2.725,92788
2024-03-02,2.907,86332
2024-03-03,2.892,75253
2024-03-04,2.855,61134
2024-03-05,2.727,63843
2024-03-06,2.334,117713
2024-03-07,2.369,93557
2024-03-08,2.447,92455
2024-03-09,2.503,92286
2024-03-10,2.48,82712
2024-03-11,2.469,64307
2024-03-12,2.423,59526
2024-03-13,2.097,113929
2024-03-14,2.0,100647
2024-03-15,2.072,97937
2024-03-16,2.143,95282
2024-03-17,2.194,79853
2024-03-18,2.221,64027
2024-03-19,2.226,59040
2024-03-20,1.916,113218
2024-03-21,1.875,92340
2024-03-22,2.025,81185
2024-03-23,2.049,83775
2024-03-24,2.054,77704
2024-03-25,2.065,68260
2024-03-26,2.013,71594
2024-03-27,1.748,126110
2024-03-28,1.767,101112
2024-03-29,1.834,103857
2024-03-30,1.837,94849
2024-03-31,1.837,101311
2024-04-01,1.818,87345
2024-04-02,1.757,85025
2024-04-03,1.54,127174
2024-04-04,1.569,104860
2024-04-05,1.629,110575
2024-04-06,1.656,114340
2024-04-07,1.653,99823
2024-04-08,1.645,85874
2024-04-09,1.594,87551
2024-04-10,1.444,119382
2024-04-11,1.497,101815
2024-04-12,1.594,112297
2024-04-13,1.655,104621
2024-04-14,1.701,86424
2024-04-15,1.666,77900
2024-04-16,1.596,75744
2024-04-17,1.44,111310
2024-04-18,1.469,93130
2024-04-19,1.488,91996
2024-04-20,1.491,96959
2024-04-21,1.38,96470
2024-04-22,1.167,108412
2024-04-23,1.089,92614
2024-04-24,0.983,130068
2024-04-25,0.978,110843
2024-04-26,0.977,133849
2024-04-27,1.081,118952
2024-04-28,1.083,107702
2024-04-29,1.03,94672
2024-04-30,1.017,99790
2024-05-01,0.937,129902
2024-05-02,0.958,109819
2024-05-03,0.999,114174
2024-05-04,1.012,111855
2024-05-05,0.992,109790
2024-05-06,0.989,84179
2024-05-07,0.973,83363
2024-05-08,0.906,119439
2024-05-09,0.918,112446
2024-05-10,0.959,104912
2024-05-11,0.992,104930
2024-05-12,1.023,92476
2024-05-13,1.038,77167
2024-05-14,1.033,81640
2024-05-15,0.954,103181
2024-05-16,0.933,98002
2024-05-17,0.928,40991
2024-05-17,0.916,3782
2024-05-17,0.908,3565
2024-05-17,0.9,4284
2024-05-17,0.901,4584
2024-05-17,0.893,4828
2024-05-17,0.882,5354
2024-05-17,0.883,5345
2024-05-17,0.885,5850
2024-05-17,0.9,6245
2024-05-17,0.908,5924
2024-05-17,0.918,6579
2024-05-17,0.925,6765
2024-05-18,0.932,4946
2024-05-18,0.932,4860
2024-05-18,0.93,5468
2024-05-18,0.924,5347
2024-05-18,0.924,5479
2024-05-18,0.916,5348
2024-05-18,0.916,4735
2024-05-18,0.916,4167
2024-05-18,0.911,4362
2024-05-18,0.877,3355
2024-05-18,0.848,3997
2024-05-18,0.846,4256
2024-05-18,0.848,4559
2024-05-18,0.857,4400
2024-05-18,0.861,4835
2024-05-18,0.865,4988
2024-05-18,0.869,5225
2024-05-18,0.875,5747
2024-05-18,0.882,5736
2024-05-18,0.885,5557
2024-05-18,0.899,6234
2024-05-18,0.9,5807
2024-05-18,0.899,5237
