date,price_usd,volume
2021-09-22,3.574,763
2021-09-23,3.573,454
2021-09-24,3.71,315
2021-09-25,3.729,316
2021-09-26,3.763,277
2021-09-27,3.879,188
2021-09-28,3.718,242
2021-09-29,2.896,470
2021-09-30,3.025,335
2021-10-01,3.144,293
2021-10-02,3.481,285
2021-10-03,3.939,244
2021-10-04,3.862,179
2021-10-05,4.214,265
2021-10-06,3.416,468
2021-10-07,3.407,330
2021-10-08,3.496,262
2021-10-09,3.849,305
2021-10-10,3.976,279
2021-10-11,3.732,193
2021-10-12,3.757,278
2021-10-13,3.362,393
2021-10-14,2.835,352
2021-10-15,2.629,266
2021-10-16,2.806,286
2021-10-17,2.945,255
2021-10-18,2.838,158
2021-10-19,2.751,229
2021-10-20,2.384,371
2021-10-21,2.167,271
2021-10-22,2.007,405
2021-10-23,1.977,270
2021-10-24,2.038,217
2021-10-25,2.065,225
2021-10-26,2.03,258
2021-10-27,1.989,416
2021-10-28,1.975,298
2021-10-29,1.929,257
2021-10-30,1.996,286
2021-10-31,2.359,259
2021-11-01,2.402,214
2021-11-02,2.43,231
2021-11-03,2.12,415
2021-11-04,2.058,302
2021-11-05,2.103,289
2021-11-06,2.131,263
2021-11-07,2.104,222
2021-11-08,2.004,208
2021-11-09,1.955,222
2021-11-10,1.659,508
2021-11-11,1.647,344
2021-11-12,1.605,303
2021-11-13,1.665,267
2021-11-14,1.702,275
2021-11-15,1.697,232
2021-11-16,1.723,231
2021-11-17,1.689,353
2021-11-18,1.655,310
2021-11-19,1.627,310
2021-11-20,1.709,286
2021-11-21,1.706,267
2021-11-22,1.737,225
2021-11-23,1.645,203
2021-11-24,1.545,343
2021-11-25,1.51,321
2021-11-26,1.451,314
2021-11-27,1.478,284
2021-11-28,1.456,261
2021-11-29,1.491,218
2021-11-30,1.438,296
2021-12-01,1.336,407
2021-12-02,1.387,268
2021-12-03,1.45,254
2021-12-04,1.525,322
2021-12-05,1.547,315
2021-12-06,1.554,222
2021-12-07,1.612,229
2021-12-08,1.519,339
2021-12-09,1.509,290
2021-12-10,1.557,270
2021-12-11,1.575,314
2021-12-12,1.474,253
2021-12-13,1.505,235
2021-12-14,1.495,184
2021-12-15,1.379,264
2021-12-16,1.371,238
2021-12-17,1.362,232
2021-12-18,1.367,264
2021-12-19,1.357,279
2021-12-20,1.321,207
2021-12-21,1.346,228
2021-12-22,1.245,305
2021-12-23,1.191,338
2021-12-24,1.215,240
2021-12-25,1.227,266
2021-12-26,1.217,306
2021-12-27,1.292,238
2021-12-28,1.262,255
2021-12-29,1.215,352
2021-12-30,1.224,328
2021-12-31,1.25,311
2022-01-01,1.354,302
2022-01-02,1.347,326
2022-01-03,1.336,283
2022-01-04,1.349,327
2022-01-05,1.401,537
2022-01-06,1.449,375
2022-01-07,1.502,330
2022-01-08,1.489,348
2022-01-09,1.447,310
2022-01-10,1.368,219
2022-01-11,1.453,260
2022-01-12,1.379,266
2022-01-13,1.379,249
2022-01-14,1.381,274
2022-01-15,1.338,291
2022-01-16,1.283,274
2022-01-17,1.296,246
2022-01-18,1.312,232
2022-01-19,1.311,208
2022-01-20,1.351,219
2022-01-21,1.346,284
2022-01-22,1.336,346
2022-01-23,1.351,316
2022-01-24,1.35,289
2022-01-25,1.378,277
2022-01-26,1.358,288
2022-01-27,1.329,278
2022-01-28,1.289,327
2022-01-29,1.3,348
2022-01-30,1.3,335
2022-01-31,1.288,279
2022-02-01,1.286,305
2022-02-02,1.293,325
2022-02-03,1.338,260
2022-02-04,1.387,241
2022-02-05,1.413,244
2022-02-06,1.457,297
2022-02-07,1.401,216
2022-02-08,1.409,197
2022-02-09,1.372,230
2022-02-10,1.453,207
2022-02-11,1.469,220
2022-02-12,1.48,202
2022-02-13,1.465,233
2022-02-14,1.433,185
2022-02-15,1.46,204
2022-02-16,1.497,203
2022-02-17,1.454,196
2022-02-18,1.493,214
2022-02-19,1.576,224
2022-02-20,1.601,224
2022-02-21,1.547,187
2022-02-22,1.566,223
2022-02-23,1.577,184
2022-02-24,1.548,153
2022-02-25,1.544,146
2022-02-26,1.533,168
2022-02-27,1.492,191
2022-02-28,1.524,194
2022-03-01,1.524,183
2022-03-02,1.554,145
2022-03-03,1.564,151
2022-03-04,1.545,171
2022-03-05,1.575,206
2022-03-06,1.564,191
2022-03-07,1.55,171
2022-03-08,1.554,166
2022-03-09,1.51,160
2022-03-10,1.507,154
2022-03-11,1.543,151
2022-03-12,1.598,171
2022-03-13,1.67,163
2022-03-14,1.576,123
2022-03-15,1.549,132
2022-03-16,1.565,152
2022-03-17,1.66,123
2022-03-18,1.699,140
2022-03-19,1.696,139
2022-03-20,1.699,126
2022-03-21,1.677,126
2022-03-22,1.752,133
2022-03-23,1.739,128
2022-03-24,1.839,132
2022-03-25,1.93,148
2022-03-26,1.941,161
2022-03-27,1.966,145
2022-03-28,2.015,107
2022-03-29,1.998,123
2022-03-30,2.061,112
2022-03-31,2.067,97
2022-04-01,2.078,114
2022-04-02,1.997,134
2022-04-03,1.953,155
2022-04-04,1.903,115
2022-04-05,1.932,118
2022-04-06,1.965,116
2022-04-07,2.013,121
2022-04-08,1.979,115
2022-04-09,2.023,148
2022-04-10,2.034,149
2022-04-11,2.067,119
2022-04-12,2.101,111
2022-04-13,2.089,108
2022-04-14,2.141,102
2022-04-15,2.227,122
2022-04-16,2.186,125
2022-04-17,2.2,120
2022-04-18,2.181,116
2022-04-19,2.259,87
2022-04-20,2.205,96
2022-04-21,2.162,71
2022-04-22,2.173,117
2022-04-23,2.216,124
2022-04-24,2.174,129
2022-04-25,2.148,103
2022-04-26,2.173,97
2022-04-27,2.046,93
2022-04-28,2.061,104
2022-04-29,2.153,95
2022-04-30,2.135,113
2022-05-01,2.106,112
2022-05-02,2.097,95
2022-05-03,2.023,115
2022-05-04,1.894,194
2022-05-05,1.835,153
2022-05-06,1.87,104
2022-05-07,1.898,112
2022-05-08,1.918,134
2022-05-09,1.902,96
2022-05-10,1.907,97
2022-05-11,1.954,120
2022-05-12,1.908,94
2022-05-13,1.898,94
2022-05-14,1.905,118
2022-05-15,1.877,113
2022-05-16,1.894,105
2022-05-17,1.924,95
2022-05-18,1.919,104
2022-05-19,1.858,105
2022-05-20,1.859,106
2022-05-21,1.925,122
2022-05-22,1.884,116
2022-05-23,1.877,87
2022-05-24,1.912,95
2022-05-25,1.802,113
2022-05-26,1.887,117
2022-05-27,1.835,111
2022-05-28,1.84,102
2022-05-29,1.799,110
2022-05-30,1.806,94
