date,price_usd,volume
2013-12-19,17.065,107
2013-12-20,9.406,213
2013-12-21,7.557,219
2013-12-22,6.185,250
2013-12-23,5.408,278
2013-12-24,5.182,294
2013-12-25,5.58,208
2013-12-26,5.105,322
2013-12-27,4.81,332
2013-12-28,4.504,322
2013-12-29,3.999,320
2013-12-30,3.737,407
2013-12-31,3.475,350
2014-01-01,3.42,402
2014-01-02,3.349,447
2014-01-03,3.257,337
2014-01-04,3.267,404
2014-01-05,3.162,438
2014-01-06,3.119,484
2014-01-07,2.916,480
2014-01-08,3.004,408
2014-01-09,2.911,488
2014-01-10,2.831,496
2014-01-11,2.86,417
2014-01-12,2.589,543
2014-01-13,2.32,560
2014-01-14,2.315,502
2014-01-15,2.295,423
2014-01-16,2.177,498
2014-01-17,2.165,457
2014-01-18,2.155,699
2014-01-19,2.204,568
2014-01-20,2.03,542
2014-01-21,2.016,532
2014-01-22,1.993,519
2014-01-23,1.95,541
2014-01-24,2.058,741
2014-01-25,2.094,674
2014-01-26,1.969,741
2014-01-27,1.895,614
2014-01-28,1.918,618
2014-01-29,1.877,534
2014-01-30,1.747,542
2014-01-31,1.663,603
2014-02-01,1.683,723
2014-02-02,1.705,711
2014-02-03,1.646,578
2014-02-04,1.573,623
2014-02-05,1.553,569
2014-02-06,1.524,663
2014-02-07,1.54,752
2014-02-08,1.587,731
2014-02-09,1.512,747
2014-02-10,1.49,598
2014-02-11,1.448,592
2014-02-12,1.379,561
2014-02-13,1.319,686
2014-02-14,1.358,727
2014-02-15,1.374,773
2014-02-16,1.335,706
2014-02-17,1.281,633
2014-02-18,1.21,661
2014-02-19,1.188,640
2014-02-20,1.215,592
2014-02-21,1.038,902
2014-02-22,1.022,1016
2014-02-23,1.131,904
2014-02-24,1.189,752
2014-02-25,1.222,679
2014-02-26,1.246,645
2014-02-27,1.201,682
2014-02-28,1.202,832
2014-03-01,1.205,872
2014-03-02,1.206,888
2014-03-03,1.193,764
2014-03-04,1.148,674
2014-03-05,1.134,621
2014-03-06,1.241,789
2014-03-07,1.187,959
2014-03-08,1.267,994
2014-03-09,1.284,939
2014-03-10,1.314,800
2014-03-11,1.34,792
2014-03-12,1.429,814
2014-03-13,1.541,597
2014-03-14,1.579,737
2014-03-15,1.372,1208
2014-03-16,1.337,1113
2014-03-17,1.364,989
2014-03-18,1.457,740
2014-03-19,1.432,761
2014-03-20,1.453,766
2014-03-21,1.432,835
2014-03-22,1.388,962
2014-03-23,1.401,904
2014-03-24,1.421,916
2014-03-25,1.458,733
2014-03-26,1.475,753
2014-03-27,1.46,791
2014-03-28,1.421,838
2014-03-29,1.35,1114
2014-03-30,1.326,1096
2014-03-31,1.407,917
2014-04-01,1.479,681
2014-04-02,1.357,904
2014-04-03,1.373,907
2014-04-04,1.316,1021
2014-04-05,1.318,1062
2014-04-06,1.355,1037
2014-04-07,1.341,970
2014-04-08,1.321,958
2014-04-09,1.359,1004
2014-04-10,1.374,976
2014-04-11,1.305,1087
2014-04-12,1.31,1122
2014-04-13,1.293,1128
2014-04-14,1.308,1164
2014-04-15,1.293,1073
2014-04-16,1.237,1196
2014-04-17,1.264,1134
2014-04-18,1.246,1172
2014-04-19,1.303,1274
2014-04-20,1.233,1216
2014-04-21,1.185,1127
2014-04-22,1.219,1125
2014-04-23,1.209,1100
2014-04-24,1.225,1147
2014-04-25,1.228,1253
2014-04-26,1.234,1275
2014-04-27,1.218,1319
2014-04-28,1.208,1163
2014-04-29,1.213,1228
2014-04-30,1.219,1353
2014-05-01,1.187,1332
2014-05-02,1.132,1405
2014-05-03,1.184,1832
2014-05-04,1.189,1881
2014-05-05,1.15,1556
2014-05-06,1.172,1459
2014-05-07,1.32,1711
2014-05-08,1.325,1915
2014-05-09,1.185,1589
2014-05-10,1.125,1777
2014-05-11,1.071,1729
2014-05-12,1.057,1335
2014-05-13,1.107,1244
2014-05-14,1.121,1376
2014-05-15,1.097,1599
2014-05-16,1.048,1585
2014-05-17,1.072,1636
2014-05-18,1.106,1463
2014-05-19,1.091,1264
2014-05-20,1.14,1110
2014-05-21,1.146,1304
2014-05-22,1.132,1209
2014-05-23,1.059,1499
2014-05-24,1.115,1404
2014-05-25,1.117,1328
2014-05-26,1.097,1219
2014-05-27,1.111,1222
2014-05-28,1.056,1320
2014-05-29,1.052,1246
2014-05-30,1.083,1235
2014-05-31,1.019,1298
2014-06-01,1.021,1369
2014-06-02,0.995,1267
2014-06-03,1.04,1150
2014-06-04,0.994,1252
2014-06-05,0.99,1151
2014-06-06,0.951,1240
2014-06-07,0.947,1212
2014-06-08,0.952,1215
2014-06-09,0.974,1106
2014-06-10,0.989,1125
2014-06-11,0.988,1093
2014-06-12,0.98,1330
2014-06-13,1.026,1265
2014-06-14,1.082,1298
2014-06-15,1.073,1489
2014-06-16,1.079,1539
2014-06-17,0.909,1497
2014-06-18,0.91,1292
2014-06-19,0.866,1336
2014-06-20,0.741,1682
2014-06-21,0.751,1561
2014-06-22,0.736,1667
2014-06-23,0.707,1594
2014-06-24,0.717,1414
2014-06-25,0.771,1463
2014-06-26,0.827,1330
2014-06-27,0.85,1475
2014-06-28,0.867,1552
2014-06-29,0.855,1808
2014-06-30,0.852,1678
2014-07-01,0.979,1480
2014-07-02,0.735,2048
2014-07-03,0.864,1565
2014-07-04,0.904,1264
2014-07-05,0.975,1249
2014-07-06,1.005,1296
2014-07-07,1.061,1379
2014-07-08,1.047,1303
2014-07-09,1.046,1437
2014-07-10,1.014,1516
2014-07-11,1.034,1587
2014-07-12,1.095,1484
2014-07-13,1.17,1452
2014-07-14,1.199,1447
2014-07-15,1.283,1465
2014-07-16,1.195,1445
2014-07-17,1.132,1447
2014-07-18,1.13,1372
2014-07-19,1.158,1409
2014-07-20,1.071,1536
2014-07-21,1.15,1459
2014-07-22,1.124,1286
2014-07-23,1.242,1312
2014-07-24,1.24,1283
2014-07-25,1.251,1477
2014-07-26,1.29,1398
2014-07-27,1.354,1375
2014-07-28,1.325,1538
2014-07-29,1.375,1574
2014-07-30,1.362,1415
2014-07-31,1.418,1523
2014-08-01,1.394,1646
2014-08-02,1.536,1608
2014-08-03,1.46,1773
2014-08-04,1.388,1617
2014-08-05,1.299,1870
2014-08-06,1.376,1506
2014-08-07,1.467,1606
2014-08-08,1.477,1574
2014-08-09,1.464,1419
2014-08-10,1.479,1410
2014-08-11,1.466,1592
2014-08-12,1.494,1436
2014-08-13,1.539,1398
2014-08-14,1.622,1596
2014-08-15,1.57,1833
2014-08-16,1.59,1765
2014-08-17,1.305,2321
2014-08-18,1.408,1727
2014-08-19,1.506,1502
2014-08-20,1.53,1522
2014-08-21,1.56,1473
2014-08-22,1.577,1459
2014-08-23,1.608,1525
2014-08-24,1.636,1496
2014-08-25,1.658,1553
2014-08-26,1.706,1531
2014-08-27,1.77,1507
2014-08-28,1.737,1410
2014-08-29,1.73,1575
2014-08-30,1.713,1783
2014-08-31,1.738,1538
2014-09-01,1.795,1530
2014-09-02,1.817,1373
2014-09-03,1.913,1342
2014-09-04,1.911,1207
2014-09-05,1.807,1380
2014-09-06,1.827,1570
2014-09-07,1.844,1524
2014-09-08,1.906,1249
2014-09-09,1.938,1194
2014-09-10,1.967,1175
2014-09-11,1.84,1388
2014-09-12,1.753,1537
2014-09-13,1.733,1711
2014-09-14,1.744,1525
2014-09-15,1.819,1269
2014-09-16,1.827,1309
2014-09-17,1.812,1317
2014-09-18,1.833,1242
2014-09-19,1.791,1409
2014-09-20,1.72,1608
2014-09-21,1.763,1444
2014-09-22,1.774,1255
2014-09-23,1.825,1096
2014-09-24,1.803,1027
2014-09-25,1.845,1031
2014-09-26,1.769,1296
2014-09-27,1.707,1541
2014-09-28,1.783,1348
2014-09-29,1.794,1175
2014-09-30,1.776,1218
2014-10-01,1.841,1236
2014-10-02,1.846,1289
2014-10-03,1.847,1496
2014-10-04,1.889,1596
2014-10-05,1.871,1562
2014-10-06,1.939,1143
2014-10-07,1.978,1149
2014-10-08,1.937,1218
2014-10-09,1.945,1230
2014-10-10,1.853,1418
2014-10-11,1.864,1538
2014-10-12,1.943,1435
2014-10-13,1.943,1177
2014-10-14,2.009,1086
2014-10-15,1.948,1106
2014-10-16,1.971,1141
2014-10-17,1.826,1434
2014-10-18,1.837,1671
2014-10-19,1.792,1485
2014-10-20,1.806,1197
2014-10-21,1.846,1087
2014-10-22,1.933,1076
2014-10-23,1.896,1168
2014-10-24,1.948,1326
2014-10-25,2.009,1416
2014-10-26,1.749,1662
2014-10-27,1.727,1252
2014-10-28,1.795,1163
2014-10-29,1.822,1155
2014-10-30,2.138,1105
2014-10-31,1.745,1818
2014-11-01,1.774,1738
2014-11-02,1.743,1692
2014-11-03,1.772,1192
2014-11-04,1.803,1133
2014-11-05,1.806,1114
