date,price_usd,volume
2016-11-29,6.42,53686
2016-11-30,3.555,49360
2016-12-01,2.701,48668
2016-12-02,2.071,54474
2016-12-03,1.606,64918
2016-12-04,1.294,61785
2016-12-05,1.208,46688
2016-12-06,1.09,44565
2016-12-07,1.025,45419
2016-12-08,1.101,44747
2016-12-09,1.005,46648
2016-12-10,0.807,53017
2016-12-11,0.668,52132
2016-12-12,0.657,41960
2016-12-13,0.665,37806
2016-12-14,0.627,36809
2016-12-15,0.57,37556
2016-12-16,0.522,41036
2016-12-17,0.446,49985
2016-12-18,0.377,49050
2016-12-19,0.326,45618
2016-12-20,0.346,41164
2016-12-21,0.344,41202
2016-12-22,0.342,43391
2016-12-23,0.353,43447
2016-12-24,0.38,51487
2016-12-25,0.443,64997
2016-12-26,0.553,53138
2016-12-27,0.432,50408
2016-12-28,0.396,44511
2016-12-29,0.368,45942
2016-12-30,0.349,48005
2016-12-31,0.375,43799
2017-01-01,0.371,44935
2017-01-02,0.387,43616
2017-01-03,0.299,42296
2017-01-04,0.263,41667
2017-01-05,0.255,44011
2017-01-06,0.247,46861
2017-01-07,0.244,48457
2017-01-08,0.237,45389
2017-01-09,0.224,37263
2017-01-10,0.218,37989
2017-01-11,0.215,37011
2017-01-12,0.203,37178
2017-01-13,0.196,48107
2017-01-14,0.196,51755
2017-01-15,0.176,46185
2017-01-16,0.163,40662
2017-01-17,0.166,39334
2017-01-18,0.167,38261
2017-01-19,0.159,38144
2017-01-20,0.159,43076
2017-01-21,0.157,49758
2017-01-22,0.141,45288
2017-01-23,0.117,40232
2017-01-24,0.097,37381
2017-01-25,0.117,42946
2017-01-26,0.122,42910
2017-01-27,0.126,44069
2017-01-28,0.128,50751
2017-01-29,0.122,48886
2017-01-30,0.105,39272
2017-01-31,0.11,41230
2017-02-01,0.126,41314
2017-02-02,0.136,41654
2017-02-03,0.135,42298
2017-02-04,0.136,50782
2017-02-05,0.127,43549
2017-02-06,0.126,38099
2017-02-07,0.124,38843
2017-02-08,0.121,37573
2017-02-09,0.114,36572
2017-02-10,0.112,41864
2017-02-11,0.107,47881
2017-02-12,0.098,46340
2017-02-13,0.093,35290
2017-02-14,0.084,32602
2017-02-15,0.079,33480
2017-02-16,0.086,36626
2017-02-17,0.089,38002
2017-02-18,0.088,43926
2017-02-19,0.081,43071
2017-02-20,0.076,33684
2017-02-21,0.075,32899
2017-02-22,0.074,32348
2017-02-23,0.073,36258
2017-02-24,0.081,41265
2017-02-25,0.085,47846
2017-02-26,0.081,46252
2017-02-27,0.08,39598
2017-02-28,0.082,41710
2017-03-01,0.081,39552
2017-03-02,0.081,37003
2017-03-03,0.083,40569
2017-03-04,0.083,48930
2017-03-05,0.08,46664
2017-03-06,0.076,32157
2017-03-07,0.076,36519
2017-03-08,0.075,33981
2017-03-09,0.069,34446
2017-03-10,0.073,39537
2017-03-11,0.069,45725
2017-03-12,0.068,44597
2017-03-13,0.067,33211
2017-03-14,0.067,33631
2017-03-15,0.067,34079
2017-03-16,0.059,38211
2017-03-17,0.045,38761
2017-03-18,0.036,43857
2017-03-19,0.031,45024
2017-03-20,0.032,36525
2017-03-21,0.034,34127
2017-03-22,0.032,36048
2017-03-23,0.032,35101
2017-03-24,0.031,41498
2017-03-25,0.03,42697
2017-03-26,0.03,37501
2017-03-27,0.03,30574
2017-03-28,0.03,33416
2017-03-29,0.03,33433
2017-03-30,0.03,30506
2017-03-31,0.03,36959
2017-04-01,0.03,37528
2017-04-02,0.03,38424
2017-04-03,0.03,32291
2017-04-04,0.03,32899
2017-04-05,0.03,32481
2017-04-06,0.03,30162
2017-04-07,0.03,31734
2017-04-08,0.03,39951
2017-04-09,0.03,37203
2017-04-10,0.03,30526
2017-04-11,0.03,27651
2017-04-12,0.03,25988
2017-04-13,0.03,24704
2017-04-14,0.03,29898
2017-04-15,0.03,27947
2017-04-16,0.03,30413
2017-04-17,0.03,34505
2017-04-18,0.03,26968
2017-04-19,0.03,28728
2017-04-20,0.03,23882
2017-04-21,0.03,29692
2017-04-22,0.03,28657
2017-04-23,0.03,26341
2017-04-24,0.03,22124
2017-04-25,0.03,23303
2017-04-26,0.03,23571
2017-04-27,0.03,22452
2017-04-28,0.03,25594
2017-04-29,0.03,28187
2017-04-30,0.03,26329
2017-05-01,0.03,25010
2017-05-02,0.03,26065
2017-05-03,0.03,24413
2017-05-04,0.03,23236
2017-05-05,0.03,26205
2017-05-06,0.03,29513
2017-05-07,0.03,30135
2017-05-08,0.03,26682
2017-05-09,0.03,23318
2017-05-10,0.03,23241
2017-05-11,0.03,26750
2017-05-12,0.03,27856
2017-05-13,0.03,29653
2017-05-14,0.03,27874
2017-05-15,0.03,25675
