date,price_pounds,volume
2016-04-28,6.61,54074
2016-04-29,4.245,58197
2016-04-30,3.03,63985
2016-05-01,2.422,62250
2016-05-02,2.235,50742
2016-05-03,2.006,47908
2016-05-04,1.888,46327
2016-05-05,1.791,44706
2016-05-06,1.527,48326
2016-05-07,1.234,55222
2016-05-08,1.142,53314
2016-05-09,1.138,44067
2016-05-10,1.114,43738
2016-05-11,1.086,43664
2016-05-12,1.054,44959
2016-05-13,1.038,50263
2016-05-14,0.903,57408
2016-05-15,0.793,58035
2016-05-16,0.82,45827
2016-05-17,0.797,44209
2016-05-18,0.772,43820
2016-05-19,0.73,43706
2016-05-20,0.721,50452
2016-05-21,0.683,53855
2016-05-22,0.6,53150
2016-05-23,0.592,43603
2016-05-24,0.555,41566
2016-05-25,0.546,48317
2016-05-26,0.53,47507
2016-05-27,0.513,54638
2016-05-28,0.537,53016
2016-05-29,0.509,49517
2016-05-30,0.488,49715
2016-05-31,0.515,47733
2016-06-01,0.527,51483
2016-06-02,0.547,46422
2016-06-03,0.53,47295
2016-06-04,0.501,50770
2016-06-05,0.423,47614
2016-06-06,0.368,47397
2016-06-07,0.366,41632
2016-06-08,0.386,48151
2016-06-09,0.405,47347
2016-06-10,0.41,49530
2016-06-11,0.421,50501
2016-06-12,0.385,47154
2016-06-13,0.365,46685
2016-06-14,0.346,46959
2016-06-15,0.325,46419
2016-06-16,0.253,67161
2016-06-17,0.291,65486
2016-06-18,0.308,63550
2016-06-19,0.3,58169
2016-06-20,0.273,53915
2016-06-21,0.257,51044
2016-06-22,0.242,54644
2016-06-23,0.241,54414
2016-06-24,0.226,55741
2016-06-25,0.21,50942
2016-06-26,0.172,50146
2016-06-27,0.159,52465
2016-06-28,0.152,49041
2016-06-29,0.139,43548
2016-06-30,0.142,51535
2016-07-01,0.19,57039
2016-07-02,0.19,47094
2016-07-03,0.165,43913
2016-07-04,0.121,48427
2016-07-05,0.146,50809
2016-07-06,0.15,47184
2016-07-07,0.143,46000
2016-07-08,0.136,48196
2016-07-09,0.14,51085
2016-07-10,0.116,41433
2016-07-11,0.091,34929
2016-07-12,0.089,39370
2016-07-13,0.103,36152
2016-07-14,0.09,35916
2016-07-15,0.096,39630
2016-07-16,0.107,42549
2016-07-17,0.104,37072
2016-07-18,0.091,34589
2016-07-19,0.078,31287
2016-07-20,0.069,30564
2016-07-21,0.06,26691
2016-07-22,0.067,30263
2016-07-23,0.068,29568
2016-07-24,0.064,28882
2016-07-25,0.059,30092
2016-07-26,0.054,30383
2016-07-27,0.053,32807
2016-07-28,0.052,34261
2016-07-29,0.056,40340
2016-07-30,0.059,35708
2016-07-31,0.057,34446
2016-08-01,0.057,35034
2016-08-02,0.055,35495
