item_name,latest_price,lifetime_price_%_change,30d_price_%_change,lifetime_volume,30d_volume_metric,lifetime_market_cap,30d_market_cap,lifetime_average_price,last_30d_average_price
Mr. Muhlik | Elite Crew,4.7,262.0,261.98,1997,1997,6052.0,6052.0,5.14,5.14
Sticker | Tamara,3.2,95.0,261.14,325112,2907,234878.0,4393.0,0.85,1.5
Sticker | Vitality (Holo) | Copenhagen 2024,0.8,-85.0,107.3,43629,2300,34829.0,1406.0,0.62,0.62
Sticker | z4KR (Glitter) | Copenhagen 2024,1.8,-50.0,90.46,23061,1864,30740.0,2721.0,1.36,1.41
StatTrak™ Glock-18 | Moonrise (Battle-Scarred),1.4,-84.0,84.31,127642,1110,99595.0,1021.0,1.06,0.91
AUG | Plague (Field-Tested),1.2,518.0,83.95,361218,1076,37942.0,867.0,0.35,0.75
Sticker | Natus Vincere (Holo) | Copenhagen 2024,2.7,-41.0,80.33,47226,2354,130055.0,4830.0,2.27,2.11
MAG-7 | Core Breach (Well-Worn),0.9,-82.0,76.28,47928,1062,33871.0,743.0,0.71,0.67
Sticker | G2 Esports (Holo) | Copenhagen 2024,2.0,-57.0,74.54,44629,2589,72216.0,4217.0,1.61,1.64
StatTrak™ Glock-18 | Moonrise (Minimal Wear),3.5,-89.0,70.16,257735,1730,556561.0,3712.0,2.81,2.17
P250 | Vino Primo (Battle-Scarred),0.9,-89.0,69.14,46052,1520,75965.0,1085.0,2.0,0.7
AUG | Random Access (Field-Tested),1.1,-72.0,67.01,98544,2145,89186.0,2095.0,0.96,0.96
Sticker | FaZe Clan (Holo) | Copenhagen 2024,2.0,-55.0,63.65,45794,2263,82180.0,3794.0,1.71,1.7
Sticker | Lynn Vision (Holo) | Copenhagen 2024,7.9,-52.0,57.57,45095,2378,326351.0,15194.0,6.87,6.72
MP5-SD | Gauss (Minimal Wear),0.7,-73.0,56.33,247279,1060,110610.0,642.0,0.47,0.58
Sticker | Apeks (Holo) | Copenhagen 2024,1.3,-51.0,55.32,27152,1586,29573.0,1897.0,1.15,1.15
Sticker | Cloud9 (Glitter) | Copenhagen 2024,0.9,-31.0,54.56,122829,6966,94118.0,4981.0,0.77,0.73
Glock-18 | Catacombs (Factory New),0.8,-58.0,53.14,1479486,1822,272951.0,1040.0,0.32,0.57
Negev | dev_texture (Factory New),1.5,-73.0,52.08,170027,1035,179490.0,1330.0,1.07,1.27
P250 | Cyber Shell (Minimal Wear),0.7,-90.0,51.47,295434,2099,156852.0,1240.0,0.53,0.59
P250 | Franklin (Field-Tested),0.6,-94.0,50.47,1874298,8254,1273782.0,4836.0,0.68,0.58
MP5-SD | Kitbash (Factory New),1.7,-83.0,50.31,116206,1607,146009.0,2231.0,1.29,1.37
MAG-7 | Core Breach (Field-Tested),1.0,-87.0,49.4,76285,2120,66785.0,2023.0,0.9,0.94
Sticker | Team Spirit (Holo) | Copenhagen 2024,1.4,-81.0,48.24,44754,2170,91121.0,2596.0,1.35,1.2
XM1014 | Teclu Burner (Field-Tested),0.8,-55.0,47.89,303877,1514,174265.0,1108.0,0.62,0.72
R8 Revolver | Amber Fade (Field-Tested),0.6,-96.0,47.39,954379,8203,583170.0,4632.0,0.62,0.56
Sticker | MOUZ (Holo) | Copenhagen 2024,2.1,-64.0,46.95,48331,2314,123861.0,4135.0,1.91,1.73
StatTrak™ P250 | Valence (Minimal Wear),0.8,-92.0,46.86,657275,1424,469516.0,919.0,0.72,0.65
G3SG1 | Dream Glade (Minimal Wear),0.6,-81.0,45.63,265627,6304,139976.0,3491.0,0.55,0.56
M4A4 | Converter (Factory New),0.9,-89.0,45.61,514636,11005,759188.0,7175.0,1.43,0.65
XM1014 | Zombie Offensive (Factory New),1.5,-63.0,45.25,257361,5401,278612.0,7073.0,1.15,1.28
Sticker | Lynn Vision (Glitter) | Copenhagen 2024,0.6,-73.0,45.12,210966,15721,118387.0,8556.0,0.55,0.54
Dual Berettas | Melondrama (Well-Worn),1.3,-87.0,45.05,147014,3732,204937.0,4234.0,1.37,1.11
AWP | Safari Mesh (Factory New),1.2,-91.0,44.57,124006,1721,238656.0,2432.0,1.92,1.36
M4A1-S | Night Terror (Factory New),1.6,-94.0,43.07,367425,8235,783820.0,11953.0,2.02,1.46
Sticker | Complexity Gaming (Holo) | Copenhagen 2024,1.1,-53.0,42.6,43710,2168,44595.0,2153.0,1.0,1.01
Dual Berettas | Melondrama (Battle-Scarred),1.2,-86.0,42.44,133731,2936,170267.0,3267.0,1.25,1.09
Rezan the Redshirt | Sabre,7.7,387.0,42.21,514181,3530,641798.0,23139.0,3.33,6.61
UMP-45 | Moonrise (Minimal Wear),0.6,-84.0,41.33,649187,3190,294649.0,1882.0,0.49,0.6
Sticker | Virtus.pro (Holo) | Copenhagen 2024,2.0,-61.0,41.2,47741,2161,118170.0,3683.0,1.89,1.72
Negev | dev_texture (Minimal Wear),0.7,-91.0,41.06,324656,2150,172142.0,1255.0,0.53,0.58
Sticker | Eternal Fire (Holo) | Copenhagen 2024,1.8,-60.0,40.92,26212,1164,60170.0,1781.0,1.79,1.54
