ITEM,MAIN_NAME
Sticker | Cloud9 (Glitter) | Copenhagen 2024,Cloud9
P250 | Franklin (Field-Tested),Franklin
R8 Revolver | Amber Fade (Field-Tested),Amber Fade
G3SG1 | Dream Glade (Minimal Wear),Dream Glade
M4A4 | Converter (Factory New),Converter
XM1014 | Zombie Offensive (Factory New),Zombie Offensive
Sticker | Lynn Vision (Glitter) | Copenhagen 2024,Lynn Vision
Dual Berettas | Melondrama (Well-Worn),Melondrama
M4A1-S | Night Terror (Factory New),Night Terror
Rezan the Redshirt | Sabre,Sabre
UMP-45 | Moonrise (Minimal Wear),Moonrise
PP-Bizon | Space Cat (Factory New),Space Cat
PP-Bizon | Space Cat (Minimal Wear),Space Cat
R8 Revolver | Amber Fade (Minimal Wear),Amber Fade
Michael Syfers  | FBI Sniper,FBI Sniper
XM1014 | Zombie Offensive (Minimal Wear),Zombie Offensive
MP7 | Abyssal Apparition (Well-Worn),Abyssal Apparition
FAMAS | Rapid Eye Movement (Battle-Scarred),Rapid Eye Movement
FAMAS | Rapid Eye Movement (Well-Worn),Rapid Eye Movement
Glock-18 | Umbral Rabbit (Factory New),Umbral Rabbit
Blackwolf | Sabre,Sabre
Rezan The Ready | Sabre,Sabre
Dual Berettas | Melondrama (Field-Tested),Melondrama
MP7 | Abyssal Apparition (Field-Tested),Abyssal Apparition
The Elite Mr. Muhlik | Elite Crew,Elite Crew
MP5-SD | Kitbash (Minimal Wear),Kitbash
Glock-18 | Vogue (Battle-Scarred),Vogue
Sawed-Off | Amber Fade (Factory New),Amber Fade
MP7 | Anodized Navy (Factory New),Anodized Navy
FAMAS | Rapid Eye Movement (Field-Tested),Rapid Eye Movement
P250 | Franklin (Minimal Wear),Franklin
StatTrak™ Glock-18 | Moonrise (Field-Tested),Moonrise
Galil AR | Tuxedo (Factory New),Tuxedo
P250 | Nevermore (Minimal Wear),Nevermore
SG 553 | Anodized Navy (Factory New),Anodized Navy
R8 Revolver | Banana Cannon (Minimal Wear),Banana Cannon
StatTrak™ Glock-18 | Umbral Rabbit (Field-Tested),Umbral Rabbit
MP9 | Food Chain (Well-Worn),Food Chain
P250 | See Ya Later (Field-Tested),See Ya Later
AWP | Worm God (Factory New),Worm God
SSG 08 | Abyss (Minimal Wear),Abyss
MAC-10 | Allure (Minimal Wear),Allure
Glock-18 | Moonrise (Minimal Wear),Moonrise
Glock-18 | Moonrise (Factory New),Moonrise
Glock-18 | Block-18 (Factory New),Block-18
'The Doctor' Romanov | Sabre,Sabre
USP-S | Night Ops (Factory New),Night Ops
Paris 2023 Overpass Souvenir Package,Paris 2023 Overpass Souvenir Package
Dual Berettas | Melondrama (Minimal Wear),Melondrama
M4A4 | Tooth Fairy (Battle-Scarred),Tooth Fairy
M4A1-S | Night Terror (Minimal Wear),Night Terror
Glock-18 | Candy Apple (Factory New),Candy Apple
R8 Revolver | Amber Fade (Factory New),Amber Fade
Galil AR | Signal (Minimal Wear),Signal
AWP | Chromatic Aberration (Minimal Wear),Chromatic Aberration
MP7 | Fade (Factory New),Fade
P90 | Teardown (Factory New),Teardown
P90 | Neoqueen (Minimal Wear),Neoqueen
USP-S | Flashback (Minimal Wear),Flashback
"Music Kit | TWERL and Ekko & Sidetrack, Under Bright Lights","TWERL and Ekko & Sidetrack, Under Bright Lights"
AK-47 | Nightwish (Battle-Scarred),Nightwish
Glock-18 | Nuclear Garden (Field-Tested),Nuclear Garden
M4A1-S | Emphorosaur-S (Factory New),Emphorosaur-S
AK-47 | Redline (Field-Tested),Redline
Dual Berettas | Flora Carnivora (Minimal Wear),Flora Carnivora
Glock-18 | Vogue (Minimal Wear),Vogue
"Music Kit | 3kliksphilip, Heading for the Source","3kliksphilip, Heading for the Source"
Berlin 2019 Legends Autograph Capsule,Berlin 2019 Legends Autograph Capsule
USP-S | Jawbreaker (Well-Worn),Jawbreaker
Tec-9 | Brother (Minimal Wear),Brother
MAG-7 | Monster Call (Minimal Wear),Monster Call
StatTrak™ M4A1-S | Night Terror (Minimal Wear),Night Terror
AWP | PAW (Field-Tested),PAW
MP9 | Food Chain (Field-Tested),Food Chain
M4A4 | Desolate Space (Well-Worn),Desolate Space
AUG | Surveillance (Field-Tested),Surveillance
CZ75-Auto | Jungle Dashed (Field-Tested),Jungle Dashed
MP7 | Just Smile (Field-Tested),Just Smile
AWP | Acheron (Factory New),Acheron
USP-S | Jawbreaker (Battle-Scarred),Jawbreaker
P90 | Vent Rush (Minimal Wear),Vent Rush
M4A1-S | Mud-Spec (Factory New),Mud-Spec
AWP | Duality (Battle-Scarred),Duality
