item_name,rejection_reason
'Blueberries' Buckshot | NSWC SEAL,low_volume
'Medium Rare' Crasswater | Guerrilla Warfare,low_volume
2020 RMR Challengers, low_price
2020 RMR Contenders, low_price
2020 RMR Legends, low_price
2021 Community Sticker Capsule,low_volume
AK-47 | Aquamarine Revenge (Battle-Scarred),low_volume
AK-47 | Aquamarine Revenge (Factory New),low_volume
AK-47 | Aquamarine Revenge (Field-Tested),low_volume
AK-47 | Aquamarine Revenge (Minimal Wear),low_volume
AK-47 | Aquamarine Revenge (Well-Worn),low_volume
AK-47 | Asiimov (Battle-Scarred),low_volume
AK-47 | Asiimov (Factory New),low_volume
AK-47 | Asiimov (Minimal Wear),low_volume
AK-47 | Asiimov (Well-Worn),low_volume
AK-47 | Baroque Purple (Battle-Scarred),low_volume
AK-47 | Baroque Purple (Factory New),low_volume
AK-47 | Baroque Purple (Field-Tested),low_volume
AK-47 | Baroque Purple (Minimal Wear),low_volume
AK-47 | Baroque Purple (Well-Worn),low_volume
AK-47 | Black Laminate (Battle-Scarred),low_volume
AK-47 | Black Laminate (Factory New),low_volume
AK-47 | Black Laminate (Field-Tested),low_volume
AK-47 | Black Laminate (Minimal Wear),low_volume
AK-47 | Black Laminate (Well-Worn),low_volume
AK-47 | Bloodsport (Factory New),low_volume
AK-47 | Bloodsport (Field-Tested),low_volume
AK-47 | Bloodsport (Minimal Wear),low_volume
AK-47 | Bloodsport (Well-Worn),low_volume
AK-47 | Blue Laminate (Factory New),low_volume
AK-47 | Blue Laminate (Field-Tested),low_volume
AK-47 | Blue Laminate (Minimal Wear),low_volume
AK-47 | Blue Laminate (Well-Worn),low_volume
AK-47 | Cartel (Battle-Scarred),low_volume
AK-47 | Cartel (Factory New),low_volume
AK-47 | Cartel (Field-Tested),low_volume
AK-47 | Cartel (Minimal Wear),low_volume
AK-47 | Cartel (Well-Worn),low_volume
AK-47 | Case Hardened (Battle-Scarred),low_volume
AK-47 | Case Hardened (Factory New),low_volume
AK-47 | Case Hardened (Field-Tested),low_volume
AK-47 | Case Hardened (Minimal Wear),low_volume
AK-47 | Case Hardened (Well-Worn),low_volume
AK-47 | Elite Build (Factory New),low_volume
AK-47 | Emerald Pinstripe (Factory New),low_volume
AK-47 | Fire Serpent (Battle-Scarred),low_volume
AK-47 | Fire Serpent (Factory New),low_volume
AK-47 | Fire Serpent (Field-Tested),low_volume
AK-47 | Fire Serpent (Minimal Wear),low_volume
AK-47 | Fire Serpent (Well-Worn),low_volume
AK-47 | First Class (Battle-Scarred),low_volume
AK-47 | First Class (Factory New),low_volume
AK-47 | First Class (Field-Tested),low_volume
AK-47 | First Class (Minimal Wear),low_volume
AK-47 | First Class (Well-Worn),low_volume
AK-47 | Frontside Misty (Battle-Scarred),low_volume
AK-47 | Frontside Misty (Factory New),low_volume
AK-47 | Frontside Misty (Minimal Wear),low_volume
AK-47 | Frontside Misty (Well-Worn),low_volume
AK-47 | Fuel Injector (Battle-Scarred),low_volume
AK-47 | Fuel Injector (Factory New),low_volume
AK-47 | Fuel Injector (Field-Tested),low_volume
AK-47 | Fuel Injector (Minimal Wear),low_volume
AK-47 | Fuel Injector (Well-Worn),low_volume
AK-47 | Gold Arabesque (Battle-Scarred),low_volume
AK-47 | Gold Arabesque (Factory New),low_volume
AK-47 | Gold Arabesque (Field-Tested),low_volume
AK-47 | Gold Arabesque (Minimal Wear),low_volume
AK-47 | Gold Arabesque (Well-Worn),low_volume
AK-47 | Green Laminate (Factory New),low_volume
AK-47 | Green Laminate (Field-Tested),low_volume
AK-47 | Green Laminate (Minimal Wear),low_volume
AK-47 | Green Laminate (Well-Worn),low_volume
AK-47 | Head Shot (Factory New),low_volume
AK-47 | Head Shot (Minimal Wear),low_volume
AK-47 | Hydroponic (Battle-Scarred),low_volume
AK-47 | Hydroponic (Factory New),low_volume
AK-47 | Hydroponic (Field-Tested),low_volume
AK-47 | Hydroponic (Minimal Wear),low_volume
AK-47 | Hydroponic (Well-Worn),low_volume
AK-47 | Ice Coaled (Factory New),low_volume
AK-47 | Ice Coaled (Well-Worn),low_volume
AK-47 | Inheritance (Battle-Scarred),low_volume
AK-47 | Inheritance (Factory New),low_volume
AK-47 | Inheritance (Field-Tested),low_volume
AK-47 | Inheritance (Minimal Wear),low_volume
AK-47 | Inheritance (Well-Worn),low_volume
AK-47 | Jaguar (Battle-Scarred),low_volume
AK-47 | Jaguar (Factory New),low_volume
AK-47 | Jaguar (Field-Tested),low_volume
AK-47 | Jaguar (Minimal Wear),low_volume
AK-47 | Jaguar (Well-Worn),low_volume
AK-47 | Jet Set (Battle-Scarred),low_volume
AK-47 | Jet Set (Factory New),low_volume
AK-47 | Jet Set (Field-Tested),low_volume
AK-47 | Jet Set (Minimal Wear),low_volume
AK-47 | Jet Set (Well-Worn),low_volume
AK-47 | Jungle Spray (Battle-Scarred),low_volume
AK-47 | Jungle Spray (Minimal Wear),low_volume
AK-47 | Jungle Spray (Well-Worn),low_volume
AK-47 | Leet Museo (Battle-Scarred),low_volume
AK-47 | Leet Museo (Factory New),low_volume
AK-47 | Leet Museo (Field-Tested),low_volume
AK-47 | Leet Museo (Minimal Wear),low_volume
AK-47 | Leet Museo (Well-Worn),low_volume
AK-47 | Legion of Anubis (Factory New),low_volume
AK-47 | Legion of Anubis (Well-Worn),low_volume
AK-47 | Neon Revolution (Battle-Scarred),low_volume
AK-47 | Neon Revolution (Factory New),low_volume
AK-47 | Neon Revolution (Minimal Wear),low_volume
AK-47 | Neon Revolution (Well-Worn),low_volume
AK-47 | Neon Rider (Battle-Scarred),low_volume
AK-47 | Neon Rider (Factory New),low_volume
AK-47 | Neon Rider (Field-Tested),low_volume
AK-47 | Neon Rider (Minimal Wear),low_volume
AK-47 | Neon Rider (Well-Worn),low_volume
AK-47 | Nightwish (Factory New),low_volume
AK-47 | Orbit Mk01 (Battle-Scarred),low_volume
AK-47 | Orbit Mk01 (Factory New),low_volume
AK-47 | Orbit Mk01 (Field-Tested),low_volume
AK-47 | Orbit Mk01 (Minimal Wear),low_volume
AK-47 | Orbit Mk01 (Well-Worn),low_volume
AK-47 | Panthera onca (Battle-Scarred),low_volume
AK-47 | Panthera onca (Factory New),low_volume
AK-47 | Panthera onca (Field-Tested),low_volume
AK-47 | Panthera onca (Minimal Wear),low_volume
AK-47 | Panthera onca (Well-Worn),low_volume
AK-47 | Phantom Disruptor (Battle-Scarred),low_volume
AK-47 | Phantom Disruptor (Factory New),low_volume
AK-47 | Phantom Disruptor (Well-Worn),low_volume
AK-47 | Point Disarray (Battle-Scarred),low_volume
AK-47 | Point Disarray (Factory New),low_volume
AK-47 | Point Disarray (Minimal Wear),low_volume
AK-47 | Point Disarray (Well-Worn),low_volume
AK-47 | Predator (Battle-Scarred),low_volume
AK-47 | Predator (Factory New),low_volume
AK-47 | Predator (Field-Tested),low_volume
AK-47 | Predator (Minimal Wear),low_volume
AK-47 | Predator (Well-Worn),low_volume
AK-47 | Rat Rod (Battle-Scarred),low_volume
AK-47 | Rat Rod (Factory New),low_volume
AK-47 | Rat Rod (Minimal Wear),low_volume
